Seed: 5576
Command script saved to: /data01/lyw/GLoMo/experiments/urfunny_only_moe_seed5576/command.sh
total parameter for the model:  113169537
current acc2:0.6972, f_weighted:0.6997, f_average:0.6972
epoch:67, train_loss:0.0070, valid_loss:2.3978, test_acc:0.7052
current acc2:0.7052, f_weighted:0.7078, f_average:0.7052
epoch:68, train_loss:0.0043, valid_loss:2.3410, test_acc:0.6942
current acc2:0.6942, f_weighted:0.6952, f_average:0.6942
epoch:69, train_loss:0.0037, valid_loss:2.0174, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7144, f_average:0.7143
epoch:70, train_loss:0.0019, valid_loss:2.2413, test_acc:0.7062
current acc2:0.7062, f_weighted:0.7062, f_average:0.7062
epoch:71, train_loss:0.0074, valid_loss:2.6624, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7033, f_average:0.7022
epoch:72, train_loss:0.0039, valid_loss:2.5055, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7099, f_average:0.7093
epoch:73, train_loss:0.0036, valid_loss:2.4478, test_acc:0.7002
current acc2:0.7002, f_weighted:0.7004, f_average:0.7002
epoch:74, train_loss:0.0068, valid_loss:2.1035, test_acc:0.6881
current acc2:0.6881, f_weighted:0.6935, f_average:0.6881
epoch:75, train_loss:0.0018, valid_loss:2.3372, test_acc:0.6891
current acc2:0.6891, f_weighted:0.6906, f_average:0.6891
epoch:76, train_loss:0.0024, valid_loss:2.5391, test_acc:0.6952
current acc2:0.6952, f_weighted:0.6972, f_average:0.6952
epoch:77, train_loss:0.0027, valid_loss:2.3498, test_acc:0.7042
current acc2:0.7042, f_weighted:0.7044, f_average:0.7042
epoch:78, train_loss:0.0056, valid_loss:2.2682, test_acc:0.7022
current acc2:0.7022, f_weighted:0.7029, f_average:0.7022
epoch:79, train_loss:0.0051, valid_loss:2.1628, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7102, f_average:0.7103
epoch:80, train_loss:0.0008, valid_loss:2.2446, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:81, train_loss:0.0002, valid_loss:2.3064, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7123, f_average:0.7123
epoch:82, train_loss:0.0002, valid_loss:2.4289, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7145, f_average:0.7143
epoch:83, train_loss:0.0002, valid_loss:2.5326, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:84, train_loss:0.0002, valid_loss:2.6517, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7146, f_average:0.7143
epoch:85, train_loss:0.0004, valid_loss:2.6292, test_acc:0.7113
current acc2:0.7113, f_weighted:0.7113, f_average:0.7113
epoch:86, train_loss:0.0002, valid_loss:2.7275, test_acc:0.7143
current acc2:0.7143, f_weighted:0.7145, f_average:0.7143
epoch:87, train_loss:0.0002, valid_loss:2.7868, test_acc:0.7123
current acc2:0.7123, f_weighted:0.7124, f_average:0.7123
epoch:88, train_loss:0.0002, valid_loss:2.7970, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7103, f_average:0.7103
epoch:89, train_loss:0.0002, valid_loss:2.8564, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
epoch:90, train_loss:0.0001, valid_loss:2.9445, test_acc:0.7103
current acc2:0.7103, f_weighted:0.7106, f_average:0.7103
epoch:91, train_loss:0.0010, valid_loss:2.9575, test_acc:0.7082
current acc2:0.7082, f_weighted:0.7083, f_average:0.7082
epoch:92, train_loss:0.0001, valid_loss:2.9303, test_acc:0.7093
current acc2:0.7093, f_weighted:0.7093, f_average:0.7093
